BatteryBlockName,TestCategoryName
Card Instructions,PRS
Learn yes,PRS
Detection with training,PRS
Learn no,PRS
Learn no and yes,PRS
Identification with training,PRS
One Card Learning with training,PRS
One back with training,PRS
Detection,PRS
Identification,PRS
One Card Learning,PRS
One back,PRS
ISLT Adult - Immediate,ISLT
ISLT Adult - Remember,ISLT
ISLT Adult - Stop,ISLT
ISLT Adult - Delayed,ISLT
ISLT Adult - Recognition,ISLT
ISLT Adult - Delayed and Recognition,ISLT
GMLT - Learn - Standard,GMLT
GMLT - Demo - Standard,GMLT
GMLT - Real - Standard,GMLT
GMLT - Real (CT Default) - Standard,GMLT
GMLT - Remember - Standard,GMLT
GMLT - Delayed - Standard,GMLT
GMLT - Delayed (CT Default) - Standard,GMLT
GMLT - Reverse - Standard,GMLT
GMLT - Reverse (CT Default) - Standard,GMLT
GMLT - Delayed and Reverse - Standard,GMLT
GMLT - Delayed and Reverse (CT Default) - Standard,GMLT
GMLT - Learn - Modified,GMLT
GMLT - Demo - Modified,GMLT
GMLT - Real (8x8) - Modified,GMLT
"GMLT - Real (8x8, CT Default) - Modified",GMLT
GMLT - Real (10x10) - Modified,GMLT
"GMLT - Real (10x10, CT Default) - Modified",GMLT
GMLT - Remember - Modified,GMLT
GMLT - Delayed (8x8) - Modified,GMLT
"GMLT - Delayed (8x8, CT Default) - Modified",GMLT
GMLT - Reverse (8x8) - Modified,GMLT
"GMLT - Reverse (8x8, CT Default) - Modified",GMLT
GMLT - Delayed and Reverse (8x8) - Modified,GMLT
"GMLT - Delayed and Reverse (8x8, CT Default) - Modified",GMLT
GMLT - Delayed (10x10) - Modified,GMLT
"GMLT - Delayed (10x10, CT Default) - Modified",GMLT
GMLT - Reverse (10x10) - Modified,GMLT
"GMLT - Reverse (10x10, CT Default) - Modified",GMLT
GMLT - Delayed and Reverse (10x10) - Modified,GMLT
"GMLT - Delayed and Reverse (10x10, CT Default) - Modified",GMLT
PRS OCL - Learn Demo Real (80 trials) - Adult,PRS OCL
PRS OCL - Demo Real (80 trials) - Adult,PRS OCL
PRS OCL - Learn Demo Real (50 trials) - Adult,PRS OCL
PRS OCL - Demo Real (50 trials) - Adult,PRS OCL
PRS OCL - Learn Demo Real (48 trials) - Pediatric,PRS OCL
PRS OCL - Demo Real (48 trials) - Pediatric,PRS OCL
Detection - Learn Demo Real - Adult,Detection
Detection - Learn Demo Real (seamless) - Adult,Detection
"Detection - Learn Demo Real (seamless, CT Default) - Adult",Detection
Detection - Demo Real - Adult,Detection
Detection - Demo Real (CT Default) - Adult,Detection
Detection - Demo Real (Extended Demo) - Adult,Detection
Detection - Learn Demo Real - Pediatric,Detection
Detection - Learn Demo Real (seamless) - Pediatric,Detection
"Detection - Learn Demo Real (seamless, CT Default) - Pediatric",Detection
Detection - Demo Real (seamless) - Pediatric,Detection
"Detection - Demo Real (seamless, CT Default) - Pediatric",Detection
"Detection - Demo Real (seamless, Extended Demo) - Pediatric",Detection
Detection - Timing Testing (random onset),Detection
Detection - Timing Testing (fixed onset),Detection
Detection - Learn Demo Real (controls external) - Adult,Detection
"Detection - Learn Demo Real (seamless, controls external) - Adult",Detection
"Detection - Learn Demo Real (seamless, CT Default, controls external) - Adult",Detection
Detection - Learn Demo Real (controls external) - Pediatric,Detection
"Detection - Learn Demo Real (seamless, controls external) - Pediatric",Detection
"Detection - Learn Demo Real (seamless, CT Default, controls external) - Pediatric",Detection
Detection - Learn Demo Real (controls both) - Adult,Detection
"Detection - Learn Demo Real (seamless, controls both) - Adult",Detection
"Detection - Learn Demo Real (seamless, CT Default, controls both) - Adult",Detection
Detection - Learn Demo Real (controls both) - Pediatric,Detection
"Detection - Learn Demo Real (seamless, controls both) - Pediatric",Detection
"Detection - Learn Demo Real (seamless, CT Default, controls both) - Pediatric",Detection
General - Card Instructions,General
General - Repeat Instructions,General
General - Finished Instructions,General
Identification - Learn Demo Real - Adult,Identification
Identification - Learn Demo Real (seamless) - Adult,Identification
"Identification - Learn Demo Real (seamless, CT Default) - Adult",Identification
Identification - Demo Real - Adult,Identification
Identification - Demo Real (CT Default) - Adult,Identification
Identification - Demo Real (Extended Demo) - Adult,Identification
Identification - Learn Demo Real - Pediatric,Identification
Identification - Learn Demo Real (seamless) - Pediatric,Identification
"Identification - Learn Demo Real (seamless, CT Default) - Pediatric",Identification
Identification - Demo Real (seamless) - Pediatric,Identification
"Identification - Demo Real (seamless, CT Default) - Pediatric",Identification
"Identification - Demo Real (seamless, Extended Demo) - Pediatric",Identification
Identification - Learn Demo Real (controls external) - Adult,Identification
"Identification - Learn Demo Real (seamless, controls external) - Adult",Identification
"Identification - Learn Demo Real (seamless, CT Default, controls external) - Adult",Identification
Identification - Learn Demo Real (controls external) - Pediatric,Identification
"Identification - Learn Demo Real (seamless, controls external) - Pediatric",Identification
"Identification - Learn Demo Real (seamless, CT Default, controls external) - Pediatric",Identification
Identification - Learn Demo Real (controls both) - Adult,Identification
"Identification - Learn Demo Real (seamless, controls both) - Adult",Identification
"Identification - Learn Demo Real (seamless, CT Default, controls both) - Adult",Identification
Identification - Learn Demo Real (controls both) - Pediatric,Identification
"Identification - Learn Demo Real (seamless, controls both) - Pediatric",Identification
"Identification - Learn Demo Real (seamless, CT Default, controls both) - Pediatric",Identification
Learn Keys - Yes Instructions,Learn Keys
Learn Keys - Yes (controls keyboard),Learn Keys
Learn Keys - Yes (controls external),Learn Keys
Learn Keys - Yes (controls both),Learn Keys
Learn Keys - No Instructions,Learn Keys
Learn Keys - No (controls keyboard),Learn Keys
Learn Keys - No (controls keyboard),Learn Keys
Learn Keys - No (controls both),Learn Keys
Learn Keys - Yes and No Instructions,Learn Keys
Learn Keys - Yes and No (controls keyboard),Learn Keys
Learn Keys - Yes and No (controls external),Learn Keys
Learn Keys - Yes and No (controls both),Learn Keys
OCL - Learn Demo Real (80 trials) - Adult,OCL
OCL - Demo Real (80 trials) - Adult,OCL
OCL - Learn Demo Real (50 trials) - Adult,OCL
OCL - Demo Real (50 trials) - Adult,OCL
OCL - Learn Demo Real (48 trials) - Pediatric,OCL
OCL - Demo Real (48 trials) - Pediatric,OCL
"OCL - Learn Demo Real (80 trials, controls external) - Adult",OCL
"OCL - Learn Demo Real (50 trials, controls external) - Adult",OCL
"OCL - Learn Demo Real (48 trials, controls external) - Pediatric",OCL
"OCL - Learn Demo Real (80 trials, controls both) - Adult",OCL
"OCL - Learn Demo Real (50 trials, controls both) - Adult",OCL
"OCL - Learn Demo Real (48 trials, controls both) - Pediatric",OCL
"OCL - Learn Demo Real (80 trials, CT Default) - Adult",OCL
"OCL - Demo Real (80 trials, CT Default) - Adult",OCL
"OCL - Learn Demo Real (50 trials, CT Default) - Adult",OCL
"OCL - Demo Real (50 trials, CT Default) - Adult",OCL
"OCL - Learn Demo Real (48 trials, CT Default) - Pediatric",OCL
"OCL - Demo Real (48 trials, CT Default) - Pediatric",OCL
"OCL - Learn Demo Real (80 trials, CT Default, controls external) - Adult",OCL
"OCL - Learn Demo Real (50 trials, CT Default, controls external) - Adult",OCL
"OCL - Learn Demo Real (48 trials, CT Default, controls external) - Pediatric",OCL
"OCL - Learn Demo Real (80 trials, CT Default, controls both) - Adult",OCL
"OCL - Learn Demo Real (50 trials, CT Default, controls both) - Adult",OCL
"OCL - Learn Demo Real (48 trials, CT Default, controls both) - Pediatric",OCL
One Back - Learn Demo Real - Adult,One Back
One Back - Learn Demo Real (seamless) - Adult,One Back
"One Back - Learn Demo Real (seamless, CT Default) - Adult",One Back
One Back - Demo Real - Adult,One Back
One Back - Demo Real (CT Default) - Adult,One Back
One Back - Demo Real (Extended Demo) - Adult,One Back
One Back - Learn Demo Real - Pediatric,One Back
One Back - Learn Demo Real (seamless) - Pediatric,One Back
"One Back - Learn Demo Real (seamless, CT Default) - Pediatric",One Back
One Back - Demo Real (seamless) - Pediatric,One Back
"One Back - Demo Real (seamless, CT Default) - Pediatric",One Back
"One Back - Demo Real (seamless, Extended Demo) - Pediatric",One Back
One Back - Learn Demo Real (controls external) - Adult,One Back
"One Back - Learn Demo Real (seamless, controls external) - Adult",One Back
"One Back - Learn Demo Real (seamless, CT Default, controls external) - Adult",One Back
"One Back - Learn Demo Real (controls external, controls external) - Pediatric",One Back
"One Back - Learn Demo Real (seamless, controls external) - Pediatric",One Back
"One Back - Learn Demo Real (seamless, CT Default, controls external) - Pediatric",One Back
One Back - Learn Demo Real (controls both) - Adult,One Back
"One Back - Learn Demo Real (seamless, controls both) - Adult",One Back
"One Back - Learn Demo Real (seamless, CT Default, controls both) - Adult",One Back
"One Back - Learn Demo Real (controls both, controls both) - Pediatric",One Back
"One Back - Learn Demo Real (seamless, controls both) - Pediatric",One Back
"One Back - Learn Demo Real (seamless, CT Default, controls both) - Pediatric",One Back
Chase - Demo Real - Standard,Chase
Chase - Demo Real - Modified,Chase
Chase - Demo Real (10x10) - Modified,Chase
Chase - Demo Real (CT Default) Standard,Chase
Chase - Demo Real (CT Default) - Modified,Chase
"Chase - Demo Real (10x10, CT Default) - Modified",Chase
CPAL - Demo - Adult,CPAL
CPAL - Real - Adult,CPAL
CPAL - Remember - Adult,CPAL
CPAL - Delayed - Adult,CPAL
CPAL - Demo Real - Adult,CPAL
CPAL - Demo - Pediatric,CPAL
CPAL - Real - Pediatric,CPAL
CPAL - Remember - Pediatric,CPAL
CPAL - Delayed - Pediatric,CPAL
CPAL - Demo Real - Pediatric,CPAL
Finger Tapping - Demo,Finger Tapping
Finger Tapping - Real,Finger Tapping
Finger Tapping - Demo Real,Finger Tapping
IDSST - Demo Real - IDSSTM (IDSST Medicines),IDSST
IDSST - Demo Real - IDSSTS (IDSST Symbols),IDSST
SAT - Demo Real - Adult,SAT
FNAME - Fits - Demo Real,FNAME
FNAME - Seen Letter Match - Demo Real,FNAME
"Two Back - Learn Demo Real (seamless, CT Default) - Adult",Two Back
BPSO - Indoor Outdoor - Demo Real,BPSO
BPSO - Old Similar New - Demo Real,BPSO
BPSO - Indoor Outdoor - Demo Real (CT Default),BPSO
BPSO - Old Similar New - Demo Real (CT Default),BPSO
Portrait Detection - Demo Real - Adult,Portrait Detection
Portrait Identification - Demo Real - Adult,Portrait Identification
Portrait One Card Learning - Demo Real (80 trials) - Adult,Portrait One Card Learning
Portrait One Back - Demo Real - Adult,Portrait One Back
SART - Demo Real - Adult,SART
