Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Left Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Metadata Display Sequence,Version Name,Group Name," ""Group Branching Equation"""," ""Group Type"""," ""Section Title"""," ""Custom Info"""," ""Show Validator"""," ""Calc Field Ecuation""",Warning message when empty,Screening expression," ""Measurement Unit"""," ""Response Set Label"""," ""Medical Dictionary"""," ""Rows Columns""",Position Row," ""Position Col"""," ""Max allowed rows"""," ""Enabled flag"""," ""Randomization"""," ""Enable Survey"""," ""Available on Mobile"""," ""Global Response Set"""," ""Field Width"""," ""Enroll Custom CRF"""," ""Descriptive Text Image"""," ""Default Value"""," ""Custom Info 2"""," ""Empty Group Flag"""," ""Stratification Variable"""," ""Revision Notes"""," ""Revision Date"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMLTStandardChangeScore1,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardChangeScore1,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardStandardScoreT1,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardStandardScoreT1,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardStandardScoreZ1,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardStandardScoreZ1,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardTestCompletion1,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardTestCompletion1,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardTestPerformance1,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardTestPerformance1,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardChangeScore2,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardChangeScore2,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardStandardScoreT2,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardStandardScoreT2,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardStandardScoreZ2,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardStandardScoreZ2,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardTestCompletion2,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardTestCompletion2,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardTestPerformance2,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardTestPerformance2,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardChangeScore3,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardChangeScore3,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardStandardScoreT3,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardStandardScoreT3,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardStandardScoreZ3,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardStandardScoreZ3,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardTestCompletion3,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardTestCompletion3,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardTestPerformance3,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardTestPerformance3,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardChangeScore4,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardChangeScore4,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardStandardScoreT4,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardStandardScoreT4,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardStandardScoreZ4,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardStandardScoreZ4,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardTestCompletion4,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardTestCompletion4,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardTestPerformance4,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardTestPerformance4,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardChangeScore5,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardChangeScore5,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardStandardScoreT5,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardStandardScoreT5,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardStandardScoreZ5,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardStandardScoreZ5,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardTestCompletion5,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardTestCompletion5,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
GMLTStandardTestPerformance5,Cogstate Battery CRF - GMLT Extra Null Variables,,Number Box (Decimal),GMLTStandardTestPerformance5,,,,,,N,,N,N,,,,,0,,,,,GMLT Null Variables,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,N,,,,N,N,,
